Date,Time,Country,League,Home,Away,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,Odd_BTTS_No,Country_League,ROUND,Liga
19.08.2023,07:30,AUSTRALIA,NPL ACT - ROUND 19,Canberra Croatia,Monaro Panthers,"1,4","4,2","9,5","2,05","1,75","2,25","1,57",AUSTRALIA - NPL ACT,NPL ACT,AUSTRALIA
19.08.2023,03:00,AUSTRALIA,NPL NORTHERN NSW - PLAY OFFS - 1/8-FINALS,Maitland,Weston Workers,"1,4","4,2","9,5","2,05","1,75","2,25","1,57",AUSTRALIA - NPL NORTHERN NSW - PLAY OFFS,PLAY OFFS,AUSTRALIA - NPL NORTHERN NSW
19.08.2023,07:30,AUSTRALIA,NPL NSW - ROUND 29,NWS Spirit,APIA Leichhardt,"1,4","4,2","9,5","2,05","1,75","2,25","1,57",AUSTRALIA - NPL NSW,NPL NSW,AUSTRALIA
19.08.2023,08:30,AUSTRALIA,NPL NSW - ROUND 29,Sutherland Sharks,Bulls Academy,"1,4","4,2","9,5","2,05","1,75","2,25","1,57",AUSTRALIA - NPL NSW,NPL NSW,AUSTRALIA
19.08.2023,09:00,AUSTRALIA,NPL NSW - ROUND 29,Marconi Stallions,Sydney Olympic,"1,4","4,2","9,5","2,05","1,75","2,25","1,57",AUSTRALIA - NPL NSW,NPL NSW,AUSTRALIA
19.08.2023,05:30,AUSTRALIA,NPL SOUTH AUSTRALIAN - PLAY OFFS - QUARTER-FINALS,Adelaide City,Modbury Jets,"1,4","4,2","9,5","2,05","1,75","2,25","1,57",AUSTRALIA - NPL SOUTH AUSTRALIAN - PLAY OFFS,PLAY OFFS,AUSTRALIA - NPL SOUTH AUSTRALIAN
19.08.2023,05:30,AUSTRALIA,NPL SOUTH AUSTRALIAN - PLAY OFFS - QUARTER-FINALS,Adelaide U21,Adelaide Comets,"1,4","4,2","9,5","2,05","1,75","2,25","1,57",AUSTRALIA - NPL SOUTH AUSTRALIAN - PLAY OFFS,PLAY OFFS,AUSTRALIA - NPL SOUTH AUSTRALIAN
19.08.2023,04:30,AUSTRALIA,NPL TASMANIA - ROUND 18,Kingborough Lions,Launceston,"1,4","4,2","9,5","2,05","1,75","2,25","1,57",AUSTRALIA - NPL TASMANIA,NPL TASMANIA,AUSTRALIA
19.08.2023,06:30,AUSTRALIA,NPL TASMANIA - ROUND 18,Launceston United,Clarence Zebras,"1,4","4,2","9,5","2,05","1,75","2,25","1,57",AUSTRALIA - NPL TASMANIA,NPL TASMANIA,AUSTRALIA
19.08.2023,06:30,AUSTRALIA,NPL TASMANIA - ROUND 18,Riverside Olympic,Devonport,"1,4","4,2","9,5","2,05","1,75","2,25","1,57",AUSTRALIA - NPL TASMANIA,NPL TASMANIA,AUSTRALIA
19.08.2023,05:00,AUSTRALIA,NPL VICTORIA - ROUND 26,Avondale FC,Bentleigh Greens,"1,4","4,2","9,5","2,05","1,75","2,25","1,57",AUSTRALIA - NPL VICTORIA,NPL VICTORIA,AUSTRALIA
19.08.2023,05:00,AUSTRALIA,NPL VICTORIA - ROUND 26,Dandenong Thunder,Hume City,"1,4","4,2","9,5","2,05","1,75","2,25","1,57",AUSTRALIA - NPL VICTORIA,NPL VICTORIA,AUSTRALIA
19.08.2023,05:00,AUSTRALIA,NPL VICTORIA - ROUND 26,Heidelberg Utd,Melbourne Knights,"1,4","4,2","9,5","2,05","1,75","2,25","1,57",AUSTRALIA - NPL VICTORIA,NPL VICTORIA,AUSTRALIA
19.08.2023,05:00,AUSTRALIA,NPL VICTORIA - ROUND 26,North Geelong,South Melbourne,"1,4","4,2","9,5","2,05","1,75","2,25","1,57",AUSTRALIA - NPL VICTORIA,NPL VICTORIA,AUSTRALIA
19.08.2023,05:00,AUSTRALIA,NPL VICTORIA - ROUND 26,Oakleigh Cannons,Moreland City,"1,4","4,2","9,5","2,05","1,75","2,25","1,57",AUSTRALIA - NPL VICTORIA,NPL VICTORIA,AUSTRALIA
19.08.2023,05:00,AUSTRALIA,NPL VICTORIA - ROUND 26,Port Melbourne Sharks,Altona Magic,"1,4","4,2","9,5","2,05","1,75","2,25","1,57",AUSTRALIA - NPL VICTORIA,NPL VICTORIA,AUSTRALIA
19.08.2023,05:00,AUSTRALIA,NPL VICTORIA - ROUND 26,St Albans,Green Gully,"1,4","4,2","9,5","2,05","1,75","2,25","1,57",AUSTRALIA - NPL VICTORIA,NPL VICTORIA,AUSTRALIA
19.08.2023,07:00,AUSTRALIA,NPL WESTERN AUSTRALIA - ROUND 21,Balcatta,Armadale,"1,4","4,2","9,5","2,05","1,75","2,25","1,57",AUSTRALIA - NPL WESTERN AUSTRALIA,NPL WESTERN AUSTRALIA,AUSTRALIA
